room_id,host_id,room_type,country,city,neighborhood,reviews,overall_satisfaction,accommodates,bedrooms,bathrooms,price,minstay,latitude,longitude,location
10830493,56081126,Entire home/apt,,San Francisco,Russian Hill,xxx,0,8,5,,4000,,37.800493,-122.418793,0101000020E6100000CCB22781CD9A5EC0A6D6FB8D76E64240
10724176,50611045,Entire home/apt,,San Francisco,South of Market,xxx,0,3,3,,10000,,37.780338,-122.391903,0101000020E6100000130D52F014995EC0BCE9961DE2E34240
1332629,554741,Entire home/apt,,San Francisco,Noe Valley,2,0,5,2,,2000,,37.756056,-122.426213,0101000020E61000005308E412479B5EC0E8F86871C6E04240
14294426,1407120,Entire home/apt,,San Francisco,Castro/Upper Market,6,5,8,4,,1100,,37.763161,-122.444617,0101000020E6100000B88FDC9A749C5EC0944A7842AFE14240
10636207,54910901,Entire home/apt,,San Francisco,Nob Hill,xxx,0,3,1,,1100,,37.792549,-122.418059,0101000020E61000001A33897AC19A5EC01FBDE13E72E54240
10700563,55277390,Entire home/apt,,San Francisco,South of Market,xxx,0,8,3,,1200,,37.786719,-122.393296,0101000020E61000007369FCC22B995EC027124C35B3E44240
10489285,53737802,Entire home/apt,,San Francisco,Noe Valley,xxx,0,6,3,,1270,,37.74268,-122.435804,0101000020E6100000D3DD7536E49B5EC057B2632310DF4240
19593038,930744,Entire home/apt,,San Francisco,Marina,xxx,0,8,4,,1200,,37.79894,-122.43686,0101000020E61000008E3BA583F59B5EC0AEBB79AA43E64240
10931258,56672361,Entire home/apt,,San Francisco,South of Market,xxx,0,3,1,,1450,,37.788046,-122.391042,0101000020E6100000325706D506995EC02FDFFAB0DEE44240
10527674,7632358,Entire home/apt,,San Francisco,Western Addition,2,0,5,3,,1250,,37.776112,-122.426728,0101000020E61000006612F5824F9B5EC03E0455A357E34240
8864274,46398210,Entire home/apt,,San Francisco,Pacific Heights,11,5,10,6,,1200,,37.790489,-122.444717,0101000020E61000006ABE4A3E769C5EC0836C59BE2EE54240
10789800,11111263,Entire home/apt,,San Francisco,Downtown/Civic Center,xxx,0,4,2,,900,,37.774567,-122.4213,0101000020E610000082734694F69A5EC0C9C7EE0225E34240
